transfer_reference,sender_id,receiver_id,value,ccy,state,transfer_type,purpose_code,created_at
TRF-50103,CUST-1189,EXT-IBAN-513,16903.48,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-13 02:45:21
TRF-50104,CUST-1189,EXT-IBAN-261,26176.51,AED,SUCCESS,IBAN,GIFT,2026-06-13 09:48:21
TRF-50105,CUST-1153,EXT-IBAN-526,14208.34,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-06 05:47:21
TRF-50106,CUST-1147,EXT-IBAN-263,23334.77,AED,SUCCESS,IBAN,RENT,2026-06-08 23:27:21
TRF-50107,CUST-1119,EXT-IBAN-782,16857.73,AED,INITIATED,IBAN,SALARY,2026-06-06 11:15:21
TRF-50108,CUST-1295,EXT-IBAN-230,10205.56,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-28 11:04:21
TRF-50109,CUST-1077,EXT-IBAN-605,10195.71,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-29 15:12:21
TRF-50110,CUST-1280,EXT-IBAN-301,9753.25,AED,SUCCESS,IBAN,SALARY,2026-05-28 19:35:21
TRF-50111,CUST-1219,EXT-IBAN-612,17353.65,AED,SUCCESS,IBAN,GIFT,2026-06-24 11:26:21
TRF-50112,CUST-1289,CUST-1151,19185.52,AED,SUCCESS,P2P,PROPERTY,2026-06-23 01:05:21
TRF-50113,CUST-1049,CUST-1212,6776.87,AED,SUCCESS,P2P,GIFT,2026-06-15 00:12:21
TRF-50114,CUST-1045,CUST-1236,742.49,AED,SUCCESS,P2P,RENT,2026-06-09 01:48:21
TRF-50115,CUST-1085,CUST-1241,23209.34,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-22 07:03:21
TRF-50116,CUST-1246,EXT-IBAN-934,27119.89,AED,SUCCESS,IBAN,PROPERTY,2026-05-27 01:58:21
TRF-50117,CUST-1140,EXT-IBAN-849,3578.85,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-08 09:38:21
TRF-50118,CUST-1226,CUST-1152,9733.28,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-05-29 17:00:21
TRF-50119,CUST-1151,CUST-1198,12193.51,AED,SUCCESS,P2P,PROPERTY,2026-06-02 07:03:21
TRF-50120,,CUST-1299,11892.58,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-20 16:55:21
TRF-50121,CUST-1092,CUST-1056,21090.35,AED,SUCCESS,P2P,SALARY,2026-06-01 05:48:21
TRF-50122,CUST-1209,EXT-IBAN-190,20183.44,AED,SUCCESS,IBAN,SALARY,2026-06-17 17:26:21
TRF-50123,CUST-1168,CUST-1111,3372.58,AED,SUCCESS,P2P,RENT,2026-06-12 04:06:21
TRF-50124,CUST-1292,EXT-IBAN-904,12070.5,AED,FAILED,IBAN,FAMILY_SUPPORT,2026-06-24 13:49:21
TRF-50125,CUST-1299,EXT-IBAN-848,22642.8,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-09 03:44:21
TRF-50126,CUST-1243,EXT-IBAN-320,12606.9,AED,SUCCESS,IBAN,SALARY,2026-06-05 15:40:21
TRF-50127,CUST-1051,EXT-IBAN-646,24774.46,AED,SUCCESS,IBAN,SALARY,2026-06-21 02:36:21
TRF-50128,CUST-1222,CUST-1036,6534.48,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-18 09:55:21
TRF-50129,,CUST-1053,8523.63,AED,INITIATED,P2P,SALARY,2026-05-27 12:53:21
TRF-50130,CUST-1024,CUST-1012,19701.91,AED,SUCCESS,P2P,GIFT,2026-06-12 23:03:21
TRF-50131,CUST-1213,EXT-IBAN-973,12155.74,AED,SUCCESS,IBAN,GIFT,2026-06-08 01:02:21
TRF-50132,CUST-1126,CUST-1020,3703.72,AED,REVERSED,P2P,FAMILY_SUPPORT,2026-06-15 00:31:21
TRF-50133,CUST-1283,EXT-IBAN-409,4720.29,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-10 17:58:21
TRF-50134,CUST-1031,CUST-1217,16985.95,AED,INITIATED,P2P,GIFT,2026-05-29 03:36:21
TRF-50135,CUST-1278,CUST-1105,2441.13,AED,SUCCESS,P2P,GIFT,2026-05-28 07:22:21
TRF-50136,CUST-1059,CUST-1253,4100.19,AED,FAILED,P2P,GIFT,2026-05-30 21:58:21
TRF-50137,CUST-1008,EXT-IBAN-967,9138.48,AED,SUCCESS,IBAN,SALARY,2026-06-24 09:47:21
TRF-50138,CUST-1284,CUST-1266,2693.53,AED,SUCCESS,P2P,GIFT,2026-06-02 14:10:21
TRF-50139,CUST-1153,EXT-IBAN-971,27263.74,AED,INITIATED,IBAN,GIFT,2026-05-30 20:04:21
TRF-50140,CUST-1243,CUST-1223,11086.65,AED,SUCCESS,P2P,SPLIT_BILL,2026-05-28 15:31:21
TRF-50141,CUST-1122,CUST-1036,28921.31,AED,SUCCESS,P2P,SALARY,2026-06-25 01:52:21
TRF-50142,CUST-1062,CUST-1194,29962.74,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-16 09:38:21
TRF-50143,CUST-1145,CUST-1178,2330.25,AED,SUCCESS,P2P,GIFT,2026-06-16 00:42:21
TRF-50144,CUST-1026,CUST-1169,19920.61,AED,INITIATED,P2P,FAMILY_SUPPORT,2026-06-01 03:20:21
TRF-50145,CUST-1129,EXT-IBAN-661,10147.2,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-27 19:22:21
TRF-50146,CUST-1159,EXT-IBAN-857,110.4,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-20 04:08:21
TRF-50147,CUST-1298,CUST-1238,21158.36,AED,SUCCESS,P2P,PROPERTY,2026-06-07 05:43:21
TRF-50148,CUST-1199,EXT-IBAN-536,15225.17,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-12 11:51:21
TRF-50149,CUST-1054,CUST-1189,18878.61,AED,FAILED,P2P,SPLIT_BILL,2026-05-31 18:58:21
TRF-50150,CUST-1205,EXT-IBAN-779,10953.65,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-13 17:17:21
TRF-50151,CUST-1044,CUST-1229,11722.0,AED,SUCCESS,P2P,SALARY,2026-06-12 10:03:21
TRF-50152,CUST-1132,EXT-IBAN-126,289.45,AED,SUCCESS,IBAN,SALARY,2026-06-24 18:42:21
TRF-50153,CUST-1140,EXT-IBAN-979,6713.34,AED,SUCCESS,IBAN,PROPERTY,2026-06-10 09:50:21
TRF-50154,CUST-1092,EXT-IBAN-981,23634.23,AED,SUCCESS,IBAN,RENT,2026-06-14 05:06:21
TRF-50155,CUST-1001,CUST-1002,29414.94,AED,SUCCESS,P2P,RENT,2026-06-05 09:26:21
TRF-50156,CUST-1051,CUST-1139,16112.14,AED,SUCCESS,P2P,RENT,2026-06-17 12:39:21
TRF-50157,CUST-1056,CUST-1256,26111.94,AED,INITIATED,P2P,FAMILY_SUPPORT,2026-05-26 19:49:21
TRF-50158,CUST-1075,CUST-1282,16704.19,AED,SUCCESS,P2P,GIFT,2026-06-02 03:28:21
TRF-50159,CUST-1079,EXT-IBAN-434,10769.58,AED,SUCCESS,IBAN,PROPERTY,2026-06-15 05:46:21
TRF-50160,CUST-1139,CUST-1000,21802.38,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-21 17:36:21
TRF-50161,CUST-1190,CUST-1116,3098.31,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-16 03:09:21
TRF-50162,CUST-1099,CUST-1160,23404.07,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-23 07:03:21
TRF-50163,CUST-1223,CUST-1003,19204.72,AED,INITIATED,P2P,SPLIT_BILL,2026-05-27 07:20:21
TRF-50164,CUST-1268,CUST-1237,3872.39,AED,SUCCESS,P2P,GIFT,2026-06-18 20:31:21
TRF-50165,CUST-1052,CUST-1153,27305.5,AED,FAILED,P2P,SPLIT_BILL,2026-05-29 11:00:21
TRF-50166,CUST-1064,CUST-1170,15340.63,AED,SUCCESS,P2P,SALARY,2026-05-31 22:36:21
TRF-50167,CUST-1209,EXT-IBAN-669,8670.72,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-31 02:15:21
TRF-50168,CUST-1261,CUST-1043,27793.83,AED,SUCCESS,P2P,GIFT,2026-05-29 00:49:21
TRF-50169,CUST-1286,EXT-IBAN-609,29043.63,AED,INITIATED,IBAN,FAMILY_SUPPORT,2026-06-01 09:26:21
TRF-50170,CUST-1049,CUST-1074,19836.57,AED,FAILED,P2P,SALARY,2026-06-05 13:38:21
TRF-50171,,CUST-1206,24438.92,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-17 13:25:21
TRF-50172,CUST-1190,EXT-IBAN-903,9216.53,AED,REVERSED,IBAN,GIFT,2026-06-15 13:39:21
TRF-50173,CUST-1294,EXT-IBAN-291,69.85,AED,SUCCESS,IBAN,PROPERTY,2026-06-15 15:29:21
TRF-50174,CUST-1183,CUST-1152,15618.67,AED,SUCCESS,P2P,RENT,2026-06-18 07:33:21
TRF-50175,CUST-1198,CUST-1024,-1,AED,WEIRD,P2P,FAMILY_SUPPORT,2026-06-16 03:46:21
TRF-50176,CUST-1227,EXT-IBAN-480,2535.68,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-11 11:42:21
TRF-50177,CUST-1214,CUST-1114,2119.91,AED,SUCCESS,P2P,PROPERTY,2026-05-31 04:41:21
TRF-50178,CUST-1010,EXT-IBAN-325,5873.82,AED,FAILED,IBAN,RENT,2026-06-24 20:39:21
TRF-50179,CUST-1151,CUST-1203,13821.97,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-18 06:24:21
TRF-50180,CUST-1144,CUST-1272,7249.63,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-21 19:35:21
TRF-50181,CUST-1002,EXT-IBAN-624,8253.5,AED,SUCCESS,IBAN,SALARY,2026-06-22 19:03:21
TRF-50182,CUST-1175,CUST-1169,26199.51,AED,SUCCESS,P2P,GIFT,2026-06-01 19:45:21
TRF-50183,CUST-1234,EXT-IBAN-422,28702.81,AED,SUCCESS,IBAN,RENT,2026-05-30 08:58:21
TRF-50184,,EXT-IBAN-676,8362.63,AED,SUCCESS,IBAN,RENT,2026-06-12 09:15:21
TRF-50185,CUST-1073,CUST-1113,10171.22,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-12 08:43:21
TRF-50186,CUST-1164,CUST-1042,27652.6,AED,SUCCESS,P2P,PROPERTY,2026-06-17 23:51:21
TRF-50187,CUST-1010,CUST-1143,4237.65,AED,SUCCESS,P2P,RENT,2026-05-28 11:38:21
TRF-50188,CUST-1080,CUST-1226,8899.95,AED,SUCCESS,P2P,PROPERTY,2026-06-15 00:14:21
TRF-50189,CUST-1154,CUST-1013,13947.12,AED,REVERSED,P2P,FAMILY_SUPPORT,2026-06-08 05:28:21
TRF-50190,CUST-1123,EXT-IBAN-800,27000.42,AED,SUCCESS,IBAN,PROPERTY,2026-06-24 21:32:21
TRF-50191,CUST-1113,CUST-1202,24591.23,AED,FAILED,P2P,GIFT,2026-05-30 03:37:21
TRF-50192,CUST-1080,CUST-1118,9097.01,AED,REVERSED,P2P,SPLIT_BILL,2026-05-31 22:35:21
TRF-50193,CUST-1214,CUST-1023,-1,AED,SUCCESS,P2P,PROPERTY,2026-06-01 03:02:21
TRF-50194,CUST-1191,CUST-1108,14707.8,AED,SUCCESS,P2P,GIFT,2026-06-08 12:43:21
TRF-50195,CUST-1011,CUST-1029,17473.93,AED,SUCCESS,P2P,RENT,2026-06-12 04:13:21
TRF-50196,CUST-1174,CUST-1094,21552.35,AED,SUCCESS,P2P,SALARY,2026-06-14 20:46:21
TRF-50197,,EXT-IBAN-462,13512.44,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-01 04:25:21
TRF-50198,CUST-1176,EXT-IBAN-912,29323.61,AED,SUCCESS,IBAN,SALARY,2026-06-08 04:36:21
TRF-50199,CUST-1239,EXT-IBAN-766,23466.11,AED,REVERSED,IBAN,GIFT,2026-06-10 16:12:21
TRF-50200,CUST-1225,EXT-IBAN-396,25144.11,AED,SUCCESS,IBAN,GIFT,2026-05-31 04:25:21
TRF-50201,CUST-1180,CUST-1151,18447.65,AED,SUCCESS,P2P,GIFT,2026-06-17 13:10:21
TRF-50202,CUST-1215,EXT-IBAN-538,10232.44,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-31 13:02:21
TRF-50203,CUST-1064,EXT-IBAN-168,17286.18,AED,SUCCESS,IBAN,GIFT,2026-06-09 04:12:21
TRF-50204,CUST-1280,EXT-IBAN-588,19882.32,AED,FAILED,IBAN,PROPERTY,2026-06-13 23:24:21
TRF-50205,CUST-1035,CUST-1125,11754.21,AED,SUCCESS,P2P,PROPERTY,2026-06-12 11:31:21
TRF-50206,CUST-1197,EXT-IBAN-124,14360.81,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-31 09:42:21
TRF-50207,CUST-1101,CUST-1077,3736.97,AED,SUCCESS,P2P,PROPERTY,2026-06-05 17:23:21
TRF-50208,CUST-1264,CUST-1193,19431.29,AED,SUCCESS,P2P,RENT,2026-06-17 08:09:21
TRF-50209,CUST-1042,EXT-IBAN-185,4609.05,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-25 03:15:21
TRF-50210,CUST-1232,CUST-1125,23198.63,AED,SUCCESS,P2P,PROPERTY,2026-05-30 22:06:21
TRF-50211,CUST-1037,CUST-1124,7826.61,AED,SUCCESS,P2P,PROPERTY,2026-05-31 07:40:21
TRF-50212,CUST-1106,EXT-IBAN-489,14388.5,AED,SUCCESS,IBAN,SALARY,2026-06-13 23:06:21
TRF-50213,CUST-1283,EXT-IBAN-774,20506.19,AED,SUCCESS,IBAN,SPLIT_BILL,2026-05-31 17:04:21
TRF-50214,CUST-1268,EXT-IBAN-315,2872.72,AED,REVERSED,IBAN,SPLIT_BILL,2026-06-21 06:11:21
TRF-50215,CUST-1180,CUST-1198,12867.71,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-22 17:27:21
TRF-50216,CUST-1032,CUST-1188,14661.16,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-24 17:20:21
TRF-50217,CUST-1250,CUST-1127,10994.67,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-23 15:04:21
TRF-50218,CUST-1240,EXT-IBAN-728,7842.32,AED,SUCCESS,IBAN,PROPERTY,2026-06-21 20:09:21
TRF-50219,CUST-1084,EXT-IBAN-263,24074.98,AED,SUCCESS,IBAN,SALARY,2026-05-30 22:45:21
TRF-50220,CUST-1157,CUST-1011,4185.79,AED,SUCCESS,P2P,RENT,2026-06-04 15:59:21
TRF-50221,CUST-1196,EXT-IBAN-434,10047.4,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-05 00:03:21
