txn_id,card_holder_id,txn_amount,txn_currency,txn_status,merchant_name,card_last4,mcc,txn_epoch
CARD-90033,CUST-1268,3988.33,AED,SETTLED,IKEA UAE,3970,5712,1781598861
CARD-90034,CUST-1294,2740.53,AED,SETTLED,Deliveroo UAE,1843,5814,1780486161
CARD-90035,CUST-1176,766.01,AED,SETTLED,Deliveroo UAE,0396,5814,1780658601
CARD-90036,CUST-1226,2466.8,AED,SETTLED,Deliveroo UAE,2389,5814,1780820301
CARD-90037,CUST-1191,802.74,AED,SETTLED,Amazon.ae,1405,5999,1781888961
CARD-90038,CUST-1147,3475.67,EUR,SETTLED,Booking.com,5624,4722,1781606961
CARD-90039,CUST-1169,1887.41,AED,SETTLED,ADNOC Station,8814,5541,1780876221
CARD-90040,CUST-1072,2197.46,AED,AUTH,Talabat,0301,5814,1781504361
CARD-90041,CUST-1087,178.71,AED,SETTLED,Apple Store UAE,4653,5732,1780119741
CARD-90042,CUST-1004,217.08,AED,SETTLED,Talabat,6367,5814,1781464581
CARD-90043,CUST-1055,1444.08,AED,SETTLED,Namshi,4792,5651,1782174921
CARD-90044,CUST-1260,3919.27,AED,DECLINED,Amazon.ae,1631,5999,1780737201
CARD-90045,CUST-1095,2128.58,AED,SETTLED,IKEA UAE,8202,5712,1781780541
CARD-90046,CUST-1126,90.85,AED,SETTLED,Sharaf DG,4995,5732,1781262261
CARD-90047,CUST-1180,78.4,AED,SETTLED,Noon.com,4953,5942,1781997921
CARD-90048,CUST-1031,1107.13,AED,AUTH,Apple Store UAE,4221,5732,1781683101
CARD-90049,CUST-1143,3776.83,AED,SETTLED,Carrefour Dubai,2485,5411,1780872381
CARD-90050,CUST-1195,355.74,AED,SETTLED,Noon.com,3726,5942,1780767381
CARD-90051,CUST-1168,3882.3,AED,SETTLED,Careem,8883,4121,1780773021
CARD-90052,CUST-1103,2167.71,AED,SETTLED,IKEA UAE,5062,5712,1781751681
CARD-90053,CUST-1074,1723.11,AED,AUTH,Noon.com,9254,5942,1782275061
CARD-90054,CUST-1060,2134.18,AED,SETTLED,Apple Store UAE,5203,5732,1780623801
CARD-90055,CUST-1211,3062.91,AED,SETTLED,Carrefour Dubai,4970,5411,1780509321
CARD-90056,CUST-1140,3733.33,AED,SETTLED,Namshi,3079,5651,1782155361
CARD-90057,CUST-1290,2469.7,AED,SETTLED,IKEA UAE,3783,5712,1780678821
CARD-90058,CUST-1244,1440.25,AED,SETTLED,Carrefour Dubai,8230,5411,1781617101
CARD-90059,CUST-1198,1498.97,AED,SETTLED,Namshi,7763,5651,1782294441
CARD-90060,CUST-1007,1637.31,AED,SETTLED,Carrefour Dubai,6767,5411,1782034641
CARD-90061,CUST-1033,3032.32,AED,SETTLED,Amazon.ae,7197,5999,1780872261
CARD-90062,CUST-1126,3467.77,AED,SETTLED,Deliveroo UAE,6633,5814,1780608381
CARD-90063,CUST-1201,2882.2,AED,SETTLED,Careem,9370,4121,1781547801
CARD-90064,CUST-1266,3148.74,AED,SETTLED,Sharaf DG,7399,5732,1781160441
CARD-90065,CUST-1202,2077.22,AED,DECLINED,Amazon.ae,0643,5999,1779869841
CARD-90066,CUST-1097,3850.56,AED,SETTLED,Namshi,7201,5651,1780970481
CARD-90067,CUST-1216,1848.08,AED,SETTLED,Talabat,0893,5814,1779853101
CARD-90068,CUST-1231,3320.42,AED,SETTLED,ADNOC Station,8202,5541,1780609221
CARD-90069,CUST-1201,2187.9,AED,SETTLED,Sharaf DG,5299,5732,1780584921
CARD-90070,CUST-1103,3586.99,AED,SETTLED,IKEA UAE,1477,5712,1781838621
CARD-90071,CUST-1063,3186.96,AED,SETTLED,Sharaf DG,1870,5732,1780279161
CARD-90072,CUST-1196,2097.65,AED,DECLINED,Lulu Hypermarket,8383,5411,1780238121
CARD-90073,CUST-1087,1525.53,AED,SETTLED,Apple Store UAE,9265,5732,1782303201
CARD-90074,CUST-1091,3475.93,AED,REVERSED,Noon.com,0840,5942,1779824241
CARD-90075,CUST-1092,1158.68,AED,SETTLED,ADNOC Station,2155,5541,1780093101
CARD-90076,CUST-1254,53.77,USD,SETTLED,AliExpress,8904,5999,1782257841
CARD-90077,CUST-1243,955.32,AED,SETTLED,ADNOC Station,6719,5541,1780810101
CARD-90078,CUST-1280,982.63,AED,SETTLED,Carrefour Dubai,9134,5411,1780328481
CARD-90079,CUST-1178,597.28,AED,SETTLED,Noon.com,2381,5942,1782135861
CARD-90080,CUST-1044,1197.27,AED,SETTLED,IKEA UAE,1784,5712,1782010281
CARD-90081,CUST-1293,1141.1,AED,SETTLED,Namshi,2906,5651,1781057841
CARD-90082,CUST-1047,3726.26,AED,REVERSED,Deliveroo UAE,4903,5814,1780920381
CARD-90083,CUST-1281,3034.98,AED,SETTLED,Lulu Hypermarket,4797,5411,1781790321
CARD-90084,CUST-1211,1320.19,AED,SETTLED,Talabat,3438,5814,1780305681
CARD-90085,CUST-1270,2287.61,AED,SETTLED,Lulu Hypermarket,7924,5411,1780438101
CARD-90086,CUST-1162,1152.31,AED,SETTLED,Sharaf DG,8608,5732,1780485021
CARD-90087,CUST-1254,2459.09,AED,SETTLED,Noon.com,8154,5942,1781103921
CARD-90088,CUST-1148,934.72,AED,SETTLED,IKEA UAE,0025,5712,1782087561
CARD-90089,CUST-1106,2951.19,AED,SETTLED,Lulu Hypermarket,6793,5411,1782163941
CARD-90090,CUST-1108,3225.14,AED,SETTLED,Apple Store UAE,3296,5732,1780755561
CARD-90091,CUST-1259,1234.55,AED,SETTLED,Lulu Hypermarket,5307,5411,1780792401
CARD-90092,CUST-1291,1368.74,AED,SETTLED,Deliveroo UAE,0477,5814,1782118401
CARD-90093,CUST-1245,3689.51,AED,SETTLED,Deliveroo UAE,0582,5814,1782260961
CARD-90094,CUST-1274,1845.17,AED,SETTLED,Namshi,7577,5651,1779946701
CARD-90095,CUST-1266,228.81,AED,SETTLED,Sharaf DG,9256,5732,1781499681
CARD-90096,CUST-1295,79.78,AED,AUTH,Apple Store UAE,5434,5732,1781736681
CARD-90097,CUST-1076,269.52,AED,SETTLED,Deliveroo UAE,0510,5814,1781940861
CARD-90098,CUST-1292,3370.41,AED,SETTLED,Apple Store UAE,6382,5732,1779886641
CARD-90099,CUST-1161,2822.54,AED,DECLINED,Talabat,0518,5814,1781029281
CARD-90100,CUST-1154,1489.48,AED,SETTLED,Amazon.ae,8603,5999,1782100281
CARD-90101,CUST-1047,3112.27,AED,SETTLED,Carrefour Dubai,8290,5411,1781208381
CARD-90102,CUST-1174,620.54,AED,SETTLED,Apple Store UAE,8579,5732,1781195901
CARD-90103,CUST-1264,3289.44,AED,AUTH,Lulu Hypermarket,2174,5411,1780379421
CARD-90104,CUST-1267,2856.14,USD,SETTLED,Steam,0067,5816,1780572441
CARD-90105,CUST-1023,1336.49,USD,SETTLED,Amazon US,8529,5999,1782240441
CARD-90106,CUST-1159,2312.35,AED,AUTH,Carrefour Dubai,3438,5411,1781497101
CARD-90107,CUST-1225,2131.44,AED,AUTH,Talabat,1927,5814,1781830761
CARD-90108,CUST-1286,65.95,AED,SETTLED,Lulu Hypermarket,1677,5411,1781147181
CARD-90109,CUST-1145,1087.85,AED,SETTLED,Deliveroo UAE,4011,5814,1781910261
CARD-90110,CUST-1025,2164.61,AED,SETTLED,Deliveroo UAE,0475,5814,1781759121
CARD-90111,CUST-1044,1537.48,AED,SETTLED,Lulu Hypermarket,6421,5411,1780151241
CARD-90112,CUST-1228,2519.74,AED,SETTLED,IKEA UAE,5826,5712,1782212361
CARD-90113,CUST-1273,3034.82,AED,SETTLED,Sharaf DG,7629,5732,1780126101
CARD-90114,CUST-1233,1875.76,AED,SETTLED,Sharaf DG,7625,5732,1779841401
CARD-90115,CUST-1132,3445.08,AED,SETTLED,Noon.com,6423,5942,1781193801
CARD-90116,CUST-1166,3156.17,AED,SETTLED,Deliveroo UAE,7987,5814,1781807781
CARD-90117,CUST-1087,1917.22,AED,SETTLED,Deliveroo UAE,5711,5814,1782266961
CARD-90118,CUST-1054,1625.72,AED,SETTLED,Lulu Hypermarket,9111,5411,1782328641
CARD-90119,CUST-1211,1846.59,AED,SETTLED,Apple Store UAE,3992,5732,1779815721
CARD-90120,CUST-1106,268.91,AED,AUTH,Careem,9682,4121,1781167641
CARD-90121,CUST-1278,3150.37,AED,AUTH,IKEA UAE,3869,5712,1780149081
CARD-90122,CUST-1293,3723.8,AED,SETTLED,Sharaf DG,1873,5732,1780417461
CARD-90123,CUST-1227,395.13,AED,SETTLED,Apple Store UAE,5046,5732,1781821221
CARD-90124,CUST-1194,2743.61,USD,SETTLED,Amazon US,8098,5999,1782218781
CARD-90125,CUST-1297,3269.05,EUR,DECLINED,Booking.com,0003,4722,1780897581
CARD-90126,CUST-1199,2127.37,AED,SETTLED,ADNOC Station,9468,5541,1781505021
CARD-90127,CUST-1155,1202.44,AED,SETTLED,Deliveroo UAE,5640,5814,1780761681
CARD-90128,CUST-1206,3945.75,AED,SETTLED,IKEA UAE,4819,5712,1779809001
CARD-90129,CUST-1286,8.37,AED,SETTLED,Carrefour Dubai,1797,5411,1782228501
CARD-90130,CUST-1201,1729.7,AED,AUTH,Amazon.ae,5212,5999,1780021761
CARD-90131,CUST-1088,2182.75,AED,SETTLED,Careem,2278,4121,1780721421
CARD-90132,CUST-1078,3360.65,AED,SETTLED,Deliveroo UAE,2056,5814,1780013301
CARD-90133,CUST-1249,580.26,USD,AUTH,Amazon US,7155,5999,1782047901
CARD-90134,CUST-1212,2570.76,AED,SETTLED,Noon.com,9902,5942,1780749081
CARD-90135,CUST-1282,2040.11,AED,SETTLED,ADNOC Station,6303,5541,1780722441
CARD-90136,CUST-1255,34.68,AED,DECLINED,IKEA UAE,3878,5712,1780491441
CARD-90137,CUST-1017,2307.53,AED,SETTLED,Apple Store UAE,9308,5732,1780950861
CARD-90138,CUST-1040,1928.72,AED,SETTLED,IKEA UAE,8624,5712,1781657481
CARD-90139,CUST-1040,1862.42,AED,SETTLED,Talabat,9995,5814,1780435101
CARD-90140,CUST-1039,2656.63,AED,AUTH,Sharaf DG,8834,5732,1781637921
CARD-90141,CUST-1273,3614.82,AED,REVERSED,Carrefour Dubai,0176,5411,1780485261
CARD-90142,CUST-1169,2297.99,AED,SETTLED,ADNOC Station,5782,5541,1781123661
CARD-90143,CUST-1155,674.2,AED,DECLINED,Talabat,9235,5814,1780292001
CARD-90144,CUST-1026,680.47,AED,AUTH,IKEA UAE,4780,5712,1781092641
CARD-90145,CUST-1064,1941.62,AED,SETTLED,Talabat,1259,5814,1782104361
CARD-90146,CUST-1140,2465.11,AED,SETTLED,Noon.com,0232,5942,1781795841
CARD-90147,CUST-1228,2957.17,AED,SETTLED,IKEA UAE,2873,5712,1781984241
CARD-90148,CUST-1270,727.33,AED,SETTLED,ADNOC Station,5617,5541,1782173421
CARD-90149,CUST-1078,3736.1,AED,SETTLED,IKEA UAE,6765,5712,1781575521
CARD-90150,CUST-1085,2905.37,AED,SETTLED,ADNOC Station,9465,5541,1780062501
CARD-90151,CUST-1059,1061.26,AED,SETTLED,Namshi,2745,5651,1781523741
CARD-90152,CUST-1272,2985.87,AED,SETTLED,ADNOC Station,6222,5541,1780587201
CARD-90153,CUST-1222,584.87,AED,SETTLED,Talabat,4731,5814,1780496061
CARD-90154,CUST-1271,1266.18,AED,AUTH,Namshi,0672,5651,1779791241
CARD-90155,CUST-1221,3824.95,AED,SETTLED,Deliveroo UAE,4466,5814,1779938241
CARD-90156,CUST-1299,1025.1,AED,SETTLED,Lulu Hypermarket,7554,5411,1782099981
CARD-90157,CUST-1099,2689.2,AED,SETTLED,Sharaf DG,5528,5732,1780888581
CARD-90158,CUST-1004,2192.71,AED,SETTLED,Deliveroo UAE,0195,5814,1781526021
CARD-90159,CUST-1112,1786.54,AED,DECLINED,Namshi,4641,5651,1780435221
CARD-90160,CUST-1111,232.24,USD,SETTLED,Amazon US,1995,5999,1780483161
CARD-90161,CUST-1289,523.98,AED,SETTLED,IKEA UAE,1816,5712,1781622141
CARD-90162,CUST-1038,2643.61,AED,AUTH,ADNOC Station,7429,5541,1781677701
CARD-90163,CUST-1165,2770.42,AED,SETTLED,Careem,2653,4121,1780594821
CARD-90164,CUST-1170,1534.28,AED,SETTLED,Carrefour Dubai,4230,5411,1781678001
CARD-90165,CUST-1102,282.25,AED,SETTLED,ADNOC Station,6432,5541,1781492001
CARD-90166,CUST-1220,2164.83,AED,SETTLED,Noon.com,1740,5942,1781660781
CARD-90167,CUST-1036,144.27,AED,SETTLED,Lulu Hypermarket,4105,5411,1781099301
CARD-90168,CUST-1000,599.67,USD,SETTLED,Steam,6397,5816,1781188401
CARD-90169,CUST-1263,2300.69,AED,DECLINED,Careem,8039,4121,1782103041
CARD-90170,CUST-1035,3124.84,AED,SETTLED,Sharaf DG,3700,5732,1780455561
CARD-90171,CUST-1274,-489.21,AED,SETTLED,ADNOC Station,5463,5541,1782244581
CARD-90172,CUST-1046,3988.08,AED,SETTLED,Namshi,8759,5651,1780887981
CARD-90173,CUST-1148,3043.01,AED,AUTH,ADNOC Station,3327,5541,1782022461
CARD-90174,CUST-1153,2644.63,USD,AUTH,Steam,6391,5816,1781415381
CARD-90175,CUST-1224,1948.58,AED,DECLINED,Deliveroo UAE,3104,5814,1781398221
CARD-90176,CUST-1122,3985.55,AED,SETTLED,Sharaf DG,6369,5732,1781692041
CARD-90177,CUST-1230,2001.24,AED,SETTLED,Talabat,0606,5814,1781357841
CARD-90178,CUST-1060,176.04,AED,SETTLED,Sharaf DG,8570,5732,1779990861
CARD-90179,CUST-1296,600.07,AED,SETTLED,Apple Store UAE,1180,5732,1780367661
CARD-90180,CUST-1023,81.16,AED,SETTLED,Namshi,2138,5651,1779838701
CARD-90181,CUST-1049,-3283.85,AED,BOGUS,Talabat,2796,5814,1781919441
CARD-90182,CUST-1112,461.15,USD,SETTLED,Amazon US,3320,5999,1781248941
CARD-90183,CUST-1166,2715.2,AED,SETTLED,Sharaf DG,9436,5732,1780346601
CARD-90184,CUST-1088,3058.09,AED,SETTLED,Amazon.ae,1035,5999,1779817341
CARD-90185,CUST-1189,676.36,AED,SETTLED,Careem,2703,4121,1780472541
CARD-90186,CUST-1192,537.82,AED,REVERSED,Carrefour Dubai,2584,5411,1781738601
CARD-90187,CUST-1045,-33.86,AED,SETTLED,Carrefour Dubai,4648,5411,1780133241
CARD-90188,CUST-1105,2770.97,AED,SETTLED,ADNOC Station,4439,5541,1781329161
CARD-90189,CUST-1019,2444.1,AED,SETTLED,Noon.com,2949,5942,1780074681
CARD-90190,CUST-1154,2510.63,AED,SETTLED,Lulu Hypermarket,6861,5411,1781569161
CARD-90191,CUST-1048,-3946.48,AED,REVERSED,Lulu Hypermarket,8842,5411,1782296481
CARD-90192,CUST-1141,2639.01,AED,SETTLED,Namshi,3173,5651,1781298981
CARD-90193,CUST-1081,1992.57,AED,AUTH,ADNOC Station,0706,5541,1780029861
CARD-90194,CUST-1171,1741.51,AED,SETTLED,Amazon.ae,7424,5999,1781639541
CARD-90195,CUST-1014,707.67,AED,SETTLED,Apple Store UAE,8436,5732,1780944621
CARD-90196,CUST-1296,1782.06,AED,SETTLED,Sharaf DG,6865,5732,1780063941
CARD-90197,CUST-1056,924.1,AED,SETTLED,Deliveroo UAE,3731,5814,1782358641
CARD-90198,CUST-1112,1505.25,AED,SETTLED,Amazon.ae,7716,5999,1781661381
CARD-90199,CUST-1232,584.04,USD,SETTLED,Steam,6346,5816,1781677641
CARD-90200,CUST-1138,2529.92,AED,SETTLED,Amazon.ae,5503,5999,1780683081
CARD-90201,CUST-1056,1126.01,AED,SETTLED,Carrefour Dubai,7513,5411,1780347981
CARD-90202,CUST-1080,3546.2,AED,AUTH,Amazon.ae,2784,5999,1780673181
CARD-90203,CUST-1267,350.46,AED,SETTLED,Amazon.ae,3546,5999,1781270481
CARD-90204,CUST-1219,62.94,AED,DECLINED,Talabat,4041,5814,1781675301
CARD-90205,CUST-1076,3567.83,AED,SETTLED,Amazon.ae,0083,5999,1781247621
CARD-90206,CUST-1258,2935.24,USD,SETTLED,Steam,6974,5816,1779803421
CARD-90207,CUST-1231,3286.06,AED,SETTLED,Sharaf DG,3940,5732,1780299981
CARD-90208,CUST-1111,2928.49,AED,SETTLED,Sharaf DG,5872,5732,1780535421
CARD-90209,CUST-1156,68.64,AED,SETTLED,Lulu Hypermarket,7524,5411,1781239881
CARD-90210,CUST-1237,3905.8,AED,REVERSED,Carrefour Dubai,2271,5411,1779828861
CARD-90211,CUST-1000,2509.11,AED,AUTH,Deliveroo UAE,1158,5814,1781429961
CARD-90212,CUST-1218,135.69,AED,DECLINED,Apple Store UAE,4420,5732,1782027381
CARD-90213,CUST-1041,3178.94,AED,SETTLED,IKEA UAE,5500,5712,1781536461
CARD-90214,CUST-1056,3552.47,USD,SETTLED,AliExpress,5989,5999,1780510401
CARD-90215,CUST-1286,705.19,USD,DECLINED,AliExpress,1097,5999,1781255721
CARD-90216,CUST-1122,3925.1,AED,SETTLED,Noon.com,1860,5942,1780888881
CARD-90217,CUST-1107,3485.17,AED,DECLINED,IKEA UAE,3693,5712,1781172561
CARD-90218,CUST-1141,2722.51,AED,SETTLED,Apple Store UAE,1038,5732,1780472181
CARD-90219,CUST-1062,2109.1,AED,SETTLED,Apple Store UAE,8714,5732,1781870241
CARD-90220,CUST-1188,1810.65,AED,AUTH,Talabat,1075,5814,1781549901
CARD-90221,CUST-1091,325.28,AED,SETTLED,Lulu Hypermarket,1260,5411,1780125261
CARD-90222,CUST-1077,596.08,AED,SETTLED,Sharaf DG,8530,5732,1781571981
CARD-90223,CUST-1277,3878.45,USD,SETTLED,Steam,7764,5816,1780145721
CARD-90224,CUST-1096,90.82,AED,SETTLED,Namshi,0361,5651,1780607061
CARD-90225,CUST-1210,2580.46,AED,SETTLED,Apple Store UAE,5616,5732,1781110221
CARD-90226,CUST-1271,2375.46,AED,SETTLED,ADNOC Station,7295,5541,1781795001
CARD-90227,CUST-1133,691.09,AED,SETTLED,Talabat,7933,5814,1780129401
CARD-90228,CUST-1145,597.61,AED,SETTLED,Carrefour Dubai,2725,5411,1780550121
CARD-90229,CUST-1089,1144.56,AED,DECLINED,Apple Store UAE,2514,5732,1780912401
CARD-90230,CUST-1225,2300.23,AED,SETTLED,Deliveroo UAE,6056,5814,1780694901
CARD-90231,CUST-1176,2663.89,AED,SETTLED,Carrefour Dubai,6109,5411,1780098621
CARD-90232,CUST-1012,1209.73,AED,SETTLED,Apple Store UAE,8182,5732,1781566941
CARD-90233,CUST-1279,628.43,AED,SETTLED,Deliveroo UAE,5427,5814,1781839941
CARD-90234,CUST-1293,3878.57,AED,AUTH,Talabat,2409,5814,1782259401
CARD-90235,CUST-1057,1358.04,AED,DECLINED,ADNOC Station,7847,5541,1780722261
CARD-90236,CUST-1012,471.92,AED,SETTLED,Apple Store UAE,3610,5732,1781175441
CARD-90237,CUST-1099,2434.56,AED,SETTLED,Carrefour Dubai,8625,5411,1781772561
CARD-90238,CUST-1042,786.88,AED,SETTLED,Talabat,7298,5814,1781280501
CARD-90239,CUST-1251,1580.72,AED,SETTLED,Apple Store UAE,9882,5732,1781751141
CARD-90240,CUST-1075,1447.45,AED,DECLINED,Namshi,7006,5651,1780468581
CARD-90241,CUST-1157,1382.96,AED,SETTLED,Talabat,9191,5814,1780285461
CARD-90242,CUST-1212,2967.4,AED,SETTLED,ADNOC Station,4728,5541,1781223741
CARD-90243,CUST-1212,2915.78,AED,SETTLED,Careem,9620,4121,1780131621
CARD-90244,CUST-1268,1901.08,AED,SETTLED,Talabat,1083,5814,1781157501
CARD-90245,CUST-1209,358.35,AED,AUTH,Careem,4478,4121,1781755461
CARD-90246,CUST-1070,2273.83,AED,SETTLED,Sharaf DG,3047,5732,1781974281
CARD-90247,CUST-1154,173.72,AED,SETTLED,ADNOC Station,4979,5541,1780926921
CARD-90248,CUST-1001,112.23,AED,SETTLED,Amazon.ae,4303,5999,1781456061
CARD-90249,CUST-1147,1892.8,AED,SETTLED,Namshi,2938,5651,1780040181
CARD-90250,CUST-1141,118.63,AED,SETTLED,Amazon.ae,1093,5999,1780940421
CARD-90251,CUST-1132,2264.47,AED,AUTH,ADNOC Station,7799,5541,1779804321
CARD-90252,CUST-1294,2052.54,AED,SETTLED,Deliveroo UAE,4252,5814,1779932781
CARD-90253,CUST-1069,1846.87,USD,SETTLED,AliExpress,2675,5999,1779984321
CARD-90254,CUST-1182,3648.86,AED,SETTLED,Namshi,4749,5651,1781653221
CARD-90255,CUST-1093,2057.9,AED,REVERSED,Lulu Hypermarket,1548,5411,1780613061
CARD-90256,CUST-1154,3490.41,AED,SETTLED,Deliveroo UAE,5939,5814,1780239741
CARD-90257,CUST-1265,56.53,AED,SETTLED,Noon.com,6111,5942,1780618581
CARD-90258,CUST-1079,414.16,AED,SETTLED,Noon.com,3622,5942,1781153301
CARD-90259,CUST-1269,2455.65,AED,SETTLED,Apple Store UAE,9029,5732,1781568981
CARD-90260,CUST-1039,1844.66,AED,SETTLED,Careem,2150,4121,1781469381
CARD-90261,CUST-1071,2765.75,AED,SETTLED,Talabat,9791,5814,1780896321
CARD-90262,CUST-1014,2841.03,AED,DECLINED,Noon.com,1943,5942,1782000561
CARD-90263,CUST-1157,2753.75,AED,SETTLED,Noon.com,3438,5942,1780454901
CARD-90264,CUST-1247,315.55,USD,DECLINED,Amazon US,7065,5999,1781845641
CARD-90265,CUST-1030,2056.35,AED,SETTLED,Namshi,1948,5651,1781211561
CARD-90266,CUST-1049,2672.01,USD,SETTLED,AliExpress,9859,5999,1781116221
CARD-90267,CUST-1014,2684.05,AED,SETTLED,Noon.com,2384,5942,1781806161
CARD-90268,CUST-1082,1394.61,AED,SETTLED,IKEA UAE,3962,5712,1779886161
CARD-90269,CUST-1098,2117.71,USD,SETTLED,Amazon US,2814,5999,1782306561
CARD-90270,CUST-1109,399.25,AED,SETTLED,Sharaf DG,7777,5732,1781387121
CARD-90271,CUST-1054,2695.74,AED,SETTLED,ADNOC Station,5813,5541,1781287161
CARD-90272,CUST-1057,914.08,AED,REVERSED,Apple Store UAE,5149,5732,1780300761
CARD-90273,CUST-1184,1985.79,AED,DECLINED,Noon.com,4723,5942,1780140981
CARD-90274,CUST-1197,1977.38,USD,SETTLED,AliExpress,7486,5999,1781713161
CARD-90275,CUST-1208,907.36,AED,SETTLED,ADNOC Station,7011,5541,1781632941
CARD-90276,CUST-1188,3756.63,USD,SETTLED,Steam,0209,5816,1782328341
CARD-90277,CUST-1267,1588.5,AED,AUTH,Lulu Hypermarket,1392,5411,1780479741
CARD-90278,CUST-1052,2364.28,AED,DECLINED,Sharaf DG,2764,5732,1781252601
CARD-90279,CUST-1206,805.05,AED,SETTLED,Deliveroo UAE,3815,5814,1780072521
CARD-90280,CUST-1297,3060.44,AED,SETTLED,Talabat,4472,5814,1781956761
CARD-90281,CUST-1207,1427.61,AED,SETTLED,Careem,8379,4121,1782327381
CARD-90282,CUST-1250,493.15,AED,SETTLED,Lulu Hypermarket,3781,5411,1780741941
CARD-90283,CUST-1034,2952.5,AED,SETTLED,Lulu Hypermarket,0438,5411,1782126381
CARD-90284,CUST-1155,1311.19,AED,SETTLED,Namshi,1578,5651,1781976141
CARD-90285,CUST-1238,3071.45,AED,SETTLED,Apple Store UAE,4809,5732,1782256161
CARD-90286,CUST-1276,2172.04,AED,SETTLED,Talabat,0289,5814,1781485461
CARD-90287,CUST-1060,3521.1,USD,SETTLED,Steam,7374,5816,1781469921
CARD-90288,CUST-1090,148.74,AED,SETTLED,ADNOC Station,4965,5541,1779909381
CARD-90289,CUST-1199,542.28,AED,SETTLED,Careem,1792,4121,1780251441
CARD-90290,CUST-1292,2743.07,AED,SETTLED,Apple Store UAE,7797,5732,1780117401
CARD-90291,CUST-1253,1568.58,AED,SETTLED,Carrefour Dubai,6189,5411,1782287961
CARD-90292,CUST-1014,1285.33,AED,SETTLED,Talabat,0739,5814,1782245961
CARD-90293,CUST-1174,2337.95,AED,SETTLED,Sharaf DG,1594,5732,1780634661
CARD-90294,CUST-1125,1408.32,AED,SETTLED,Careem,3844,4121,1780638321
CARD-90295,CUST-1156,266.67,AED,SETTLED,Sharaf DG,5531,5732,1782346881
CARD-90296,CUST-1216,1846.33,AED,SETTLED,Carrefour Dubai,8433,5411,1780124061
CARD-90297,CUST-1011,1881.45,AED,SETTLED,Sharaf DG,6188,5732,1782001521
CARD-90298,CUST-1051,3234.26,AED,AUTH,Lulu Hypermarket,3373,5411,1780794261
CARD-90299,CUST-1153,1361.46,AED,SETTLED,Namshi,7143,5651,1780440261
CARD-90300,CUST-1274,3362.32,AED,SETTLED,Lulu Hypermarket,4708,5411,1781402121
